Product Device,Count,Percentage
rk322x_box,1186400,26.76%
Hi3751V350,499469,11.27%
r34az,350188,7.90%
TVBOX,335342,7.56%
SmartTV,328094,7.40%
SmartTV235X,146976,3.32%
eros-p1,140018,3.16%
mt5867,128111,2.89%
p281,113725,2.57%
rk3326_industry,105925,2.39%
(empty),75189,1.70%
rk3326_sgo,68022,1.53%
X96Q,65188,1.47%
SmartTV256X,64911,1.46%
AndroidTV,57255,1.29%
rk312x,57026,1.29%
TB009KA,54176,1.22%
petrel-p1,50490,1.14%
oppen,39443,0.89%
blueline,34759,0.78%
rk3566_sgo,27878,0.63%
rk3528_box,21388,0.48%
PUBLIC_MSTAR_358_W,19914,0.45%
TVR3,19657,0.44%
X96Q PRO,19595,0.44%
TX6698,19065,0.43%
dolphin-fvd-p1,18591,0.42%
RealtekATV,18497,0.42%
D95G,18392,0.41%
SMARTPHONE,16813,0.38%
Q96,15676,0.35%
m7332,14206,0.32%
r34a5,14001,0.32%
TX60PRO,13347,0.30%
10839,10811,0.24%
Hi3751V560,9341,0.21%
BTVE,9133,0.21%
AT_SmartScreen,8697,0.20%
I96 8K,8416,0.19%
franklin,8232,0.19%
Q96MAX,8175,0.18%
cvt_mt5863_eu,7935,0.18%
p212,6880,0.16%
tx90pro,6862,0.15%
X96mini,5746,0.13%
TV98,5146,0.12%
IBEK,4681,0.11%
be30a3,4609,0.10%
soul,4101,0.09%
D9Q,4059,0.09%
ACOMBOX,3749,0.08%
X96QPRO,3413,0.08%
tx9 pro max,3328,0.08%
PeiningTV,3316,0.07%
t950s_be311,3242,0.07%
TV2026M26,3045,0.07%
Projector,3028,0.07%
ADVANCE,2985,0.07%
cupid-p1,2962,0.07%
CBOX,2952,0.07%
KingsPro,2802,0.06%
MEGA_PLUS_GOLD,2674,0.06%
pioneer5_sdp,2277,0.05%
adt3,2132,0.05%
TX100PRO5G,2102,0.05%
walleye,1886,0.04%
TX30PRO 5G,1880,0.04%
at30a7,1804,0.04%
REF-V808,1799,0.04%
Smart TV,1776,0.04%
TX9 PRO,1709,0.04%
ST6681BQH_EP2,1652,0.04%
cranberry,1649,0.04%
M626,1648,0.04%
titan-p1,1581,0.04%
Prime OTT Pro P10,1565,0.04%
TX100 PRO 5G,1518,0.03%
TV2025M25,1502,0.03%
p291_iptv,1465,0.03%
TX100 pro,1450,0.03%
NEK7,1445,0.03%
C26,1444,0.03%
G1,1411,0.03%
eros_p1,1405,0.03%
Stream Core,1398,0.03%
YC12,1389,0.03%
F-20E,1380,0.03%
SMART_TV,1360,0.03%
K5,1359,0.03%
TX2000PRO-5G,1318,0.03%
MXQPRO,1303,0.03%
KKRAO,1260,0.03%
D9R1,1207,0.03%
bennet,1172,0.03%
pioneer5_sdp_lr,1153,0.03%
ohh,1150,0.03%
Mbox1,1144,0.03%
Android_TV,1135,0.03%
TX500PRO,1120,0.03%
KEZU,1081,0.02%
PROJECTOR,1067,0.02%
p291,1051,0.02%
TX30 Pro,1045,0.02%
cv6a358_international,1043,0.02%
GUDDI,1035,0.02%
V88,1007,0.02%
Super Prime SP10,994,0.02%
V96Q,993,0.02%
TX100PRO,983,0.02%
M8S_PLUS_DVB_MEGA_PLUS_GOLD,978,0.02%
S16_PLUS_GOLD,971,0.02%
Mecool,929,0.02%
RedPlay,926,0.02%
TX50 pro,916,0.02%
TX20PRO,893,0.02%
K7_MagicPlus,891,0.02%
DREAMSTAR,842,0.02%
X25,819,0.02%
ampere,807,0.02%
Tamam OTT,791,0.02%
MAX OTT PRO,765,0.02%
TX10PRO,761,0.02%
cvt_mt5863_us,733,0.02%
QH12a,716,0.02%
JD9255E_YQ356,674,0.02%
ZipSmart_Prime,672,0.02%
MagicPlus,659,0.01%
BT20,646,0.01%
TX200PRO,646,0.01%
M8S_PLUS_DVB_PALFLIX,643,0.01%
HKC,641,0.01%
apple,625,0.01%
MX9PLUS,623,0.01%
ST9255ABCP201Z08,611,0.01%
TV2025M26,579,0.01%
TX3 Pro,557,0.01%
X88plus,551,0.01%
TX1000PRO-5G,550,0.01%
C58E,539,0.01%
mt5862,532,0.01%
D9Q5G,522,0.01%
MAXIMUS,512,0.01%
LS4379FHD-SMART,501,0.01%
GK6323V100C,501,0.01%
x30a4,491,0.01%
TX20 pro,475,0.01%
TX40 pro,469,0.01%
ST9632AAT_EP1,465,0.01%
Hyper,442,0.01%
ohm,434,0.01%
ST9255ABCP101Z08,429,0.01%
TX30PRO-5G,426,0.01%
oneday,426,0.01%
HEMCO,408,0.01%
I96KING,407,0.01%
I968KPLUS,397,0.01%
KM7SE,396,0.01%
M8S_PLUS_S2,366,0.01%
M8S_PLUS_T2,361,0.01%
cvt_mt5886_eu_1g,357,0.01%
D9 Max 5G-A1,346,0.01%
OCBN,340,0.01%
TX3 Mini-A3,339,0.01%
M8S_PLUS_DVB_MMC_B19,334,0.01%
Binge,332,0.01%
VIZONY_Q8,323,0.01%
S12_PLUS_GOLD,320,0.01%
K7_Cruzetv_Hybrid_3_tuner,319,0.01%
MDTV,312,0.01%
emodern,310,0.01%
K7,297,0.01%
Vala_Plus_4,277,0.01%
Impala,274,0.01%
G1PRO,271,0.01%
mt5862_512m,271,0.01%
M8S_PLUS_DVB_TEH_500_PLUS,271,0.01%
Android TV,263,0.01%
AHD9000,251,0.01%
MICOM,248,0.01%
YZ3,246,0.01%
G96mini,245,0.01%
ASG,244,0.01%
E05i33,242,0.01%
YC16,228,0.01%
cvt_mt5886_sa,219,0.00%
TLE-43FSBM,212,0.00%
UMST Q1,210,0.00%
GplusTV,206,0.00%
810,204,0.00%
newton,204,0.00%
325_VIVAX_,202,0.00%
B860HV5_Telkom,197,0.00%
TX9,192,0.00%
FASTAR,186,0.00%
KM9_SHOWBOX,185,0.00%
projector,179,0.00%
TX9PRO,175,0.00%
P3,174,0.00%
TLE-32SBM,174,0.00%
Megasat_Smart_TV,166,0.00%
Q8,165,0.00%
HG680,158,0.00%
rk3128_box,156,0.00%
TX80PRO,153,0.00%
rk3326_go,152,0.00%
MXQPLUS,150,0.00%
MX10,147,0.00%
TV008,137,0.00%
SBOX1,134,0.00%
pineappleCMCC,133,0.00%
cvt_mt5863_col,125,0.00%
telefunken-rtk2851,123,0.00%
cvt_mt5886_eu,118,0.00%
K3,116,0.00%
b0q,113,0.00%
TVR3-s,112,0.00%
PROJECTOR-HSX1,111,0.00%
V96mini,109,0.00%
V96Q PRO,105,0.00%
rockchip001,102,0.00%
cv6a538_international,102,0.00%
tx9-pro-max,102,0.00%
TX60 PRO,101,0.00%
QX1,100,0.00%
E08i33,99,0.00%
syinix_8g,98,0.00%
V96Q SE,97,0.00%
m201,96,0.00%
SKD07310520,96,0.00%
TV_SMART_50_SK,94,0.00%
X2,93,0.00%
t9plus_BOSSProjector_CA_en,93,0.00%
D08241920,91,0.00%
Gleetech 18,88,0.00%
sailfish,87,0.00%
FO-R12,86,0.00%
SKD08180120,85,0.00%
M8S_PLUS_DVB_DS4000,84,0.00%
beyond1,81,0.00%
TF-LED32S20T2S,81,0.00%
q201,79,0.00%
RT2851P839_T550QVN073,79,0.00%
TX6898,78,0.00%
raven,78,0.00%
ATVBOX,76,0.00%
rockchip014,75,0.00%
PROJECTOR-D1,75,0.00%
beyond2,75,0.00%
EC6110M,74,0.00%
Multiverse LX1,74,0.00%
D02050921,74,0.00%
rk3399_mid,73,0.00%
galilei,71,0.00%
Rombica,71,0.00%
dolpin_fvd_p1,70,0.00%
ap202,69,0.00%
S1,69,0.00%
Y02,68,0.00%
W2,68,0.00%
BW-V2,67,0.00%
android_tv_box,65,0.00%
209_2831P738_1G_8G_SQY_D12280518_V400HJ6-PE1_C3_CostaRica_RCA,65,0.00%
K6,65,0.00%
vinga_8g,64,0.00%
marlin,64,0.00%
ap201,63,0.00%
Reflexion_SmartTV,63,0.00%
Myairtv,63,0.00%
HD890_4K,62,0.00%
H501,61,0.00%
BEECUBE XTREME,61,0.00%
rk3528_box_32,61,0.00%
228_2831P638_PANDA_SD,61,0.00%
t9plus_Merlin_en,61,0.00%
2851P739_V430DJ1Q01,60,0.00%
D01200122,60,0.00%
LUMOS RAY GEN2,59,0.00%
282_2841P638_HuiDi_L19071214_Israel_HD,59,0.00%
43FHD,59,0.00%
SKD07312420,58,0.00%
daewoo_8g,58,0.00%
HiKING-HQ5,57,0.00%
marconi,55,0.00%
SKD09100420,55,0.00%
ah212,55,0.00%
rk3518_box_32,54,0.00%
D02090521,54,0.00%
rk3328_box,53,0.00%
215_2861V09_1G_8G_SQY_SKD111303-18_HV550QUB-N5A_Croatia,53,0.00%
MXQ-JOY-69,53,0.00%
provision_hw3,52,0.00%
Royal Platinum,52,0.00%
TV_SMART_55_SK,51,0.00%
ALCAD,51,0.00%
rk3576_box,51,0.00%
D08242020,51,0.00%
M29255,49,0.00%
ST9255ABCP251Z04,49,0.00%
263_2841P531_HuiDi_L19030517_SD,49,0.00%
TOX1,48,0.00%
rk356x_box,48,0.00%
YX8,48,0.00%
p3s,48,0.00%
232_SQY_2861V09_1.5G_8G_SQY_SKD12030818_Croatia,48,0.00%
SKD08260620,47,0.00%
t950s_be30ak,46,0.00%
HIPER,46,0.00%
HiKING-HQ7,46,0.00%
RT2842P639-LQ315T3HC64,46,0.00%
D02090621,45,0.00%
Smart,44,0.00%
D07230120,44,0.00%
t9plus_wwt_en,44,0.00%
OP516FL1,43,0.00%
Sample,42,0.00%
304_2861V09_8G_SQY_SKD08200419_ST5461D07-1_VIVAX_Croatia,42,0.00%
mt9633,41,0.00%
TOX3,41,0.00%
329_Vietnam_Darling_SD,41,0.00%
Smart Projector,41,0.00%
240_2831P638_1G_8G_SQY_D08070519_T390XVN020_ISDB_CostaRica_RCA,41,0.00%
S905l3a,40,0.00%
AndroidTv,40,0.00%
NL5H00X,39,0.00%
bl14plus_md_portronics_en,39,0.00%
t9plus_INNOVATIVE_en,39,0.00%
MXQM:I,39,0.00%
rockchip005,38,0.00%
OnePlus5,38,0.00%
RT2851P839,37,0.00%
rk3288,37,0.00%
wst_8g,37,0.00%
SKD08241120,36,0.00%
RT2851P739-HV430QUB-N1K,36,0.00%
SMPLAY,36,0.00%
D07160221,36,0.00%
tv,35,0.00%
athena-p7,35,0.00%
OT-DVB31,35,0.00%
Pulse,35,0.00%
