Product Model,Count,Percentage
TV BOX,504261,11.38%
HiDPTAndroid Hi3751V350,451420,10.18%
TVBOX,433357,9.78%
SMART_TV,371693,8.38%
SmartTV,329533,7.43%
Smart,221684,5.00%
XBOX,158958,3.59%
SMART TV,126132,2.85%
MX10,103806,2.34%
Android,86363,1.95%
AndroidTV,80508,1.82%
(empty),75242,1.70%
X96Q,69540,1.57%
rk3326_sgo,68022,1.53%
HY300,65038,1.47%
P200,55379,1.25%
TB009KA,54176,1.22%
Smart box TV 4K,41695,0.94%
rk3566_sgo,27878,0.63%
Smart_Projector,27104,0.61%
X96Q PRO,22696,0.51%
TVR3,20128,0.45%
KM22,19118,0.43%
TX6698,19065,0.43%
D95G,18389,0.41%
SuperBOX_S6MAX,16948,0.38%
SMARTPHONE,16776,0.38%
SuperBOX_S3PRO,16649,0.38%
I-905,16556,0.37%
Q96,16007,0.36%
NXMY,15756,0.36%
M98 PRO,15587,0.35%
MyBox,15535,0.35%
R4,15521,0.35%
TX60PRO,13347,0.30%
Hightv brasil plus,13096,0.30%
SuperBOX_S2PRO,12534,0.28%
SuperBOX_S4PRO,12292,0.28%
MXQPRO,10459,0.24%
hi352t_zsn3,9433,0.21%
Transpeed,9362,0.21%
Projector_T6P,9248,0.21%
E10,9133,0.21%
INTV-110,9084,0.20%
AT_SmartScreen,8697,0.20%
RealtekATV,8677,0.20%
I96 8K,8416,0.19%
HiDPTAndroid Hi3751V560,8298,0.19%
Q96MAX,8200,0.18%
X96mini,8151,0.18%
MDTV,8055,0.18%
Smart TV,8046,0.18%
M96mini,7625,0.17%
TV98,7617,0.17%
HB+TV,7453,0.17%
ATMACA_SmartTV,7351,0.17%
tx90pro,6862,0.15%
NET1,6841,0.15%
S168,6802,0.15%
SMART_TV_4277,6580,0.15%
M98-M9,6443,0.15%
lstGEN,6022,0.14%
hi352l_ek_zsn3,5983,0.13%
SMART_TV_3277,5784,0.13%
hi352t_zsn4in,5212,0.12%
SuperBOX_S6Ultra,4998,0.11%
IBEK,4681,0.11%
LAT-T96M/16,4623,0.10%
SuperBOX_S6PRO,4619,0.10%
None,4216,0.10%
MiTV-AYFR0,4101,0.09%
Pla25,4092,0.09%
D100,4092,0.09%
D9Q,4059,0.09%
Bra55,4030,0.09%
T96mini,4013,0.09%
Cable Color,3999,0.09%
android TV,3975,0.09%
Vis40,3945,0.09%
Smx28,3940,0.09%
Smartix,3939,0.09%
SuperBOX_S5MAX,3939,0.09%
Pla45,3921,0.09%
Reb54,3915,0.09%
Max400,3872,0.09%
PlayBox,3869,0.09%
Lin42,3855,0.09%
Vis60,3852,0.09%
Pla65,3852,0.09%
Vx58,3849,0.09%
Funix,3841,0.09%
S500,3835,0.09%
Pro500,3818,0.09%
Reb34,3812,0.09%
B300,3805,0.09%
Nex30,3800,0.09%
Visio,3798,0.09%
Vx38,3795,0.09%
MXQ-4K,3795,0.09%
Swift,3791,0.09%
C200,3782,0.09%
F200,3772,0.09%
Bra35,3771,0.09%
Vx18,3771,0.09%
Ultra600,3769,0.09%
Smx68,3767,0.08%
Swi52,3764,0.08%
Nex10,3733,0.08%
Swi32,3715,0.08%
A100,3714,0.08%
Fux56,3706,0.08%
G400,3703,0.08%
Reb14,3680,0.08%
Fux16,3676,0.08%
Lin22,3672,0.08%
TX2,3659,0.08%
E300,3656,0.08%
Lin62,3656,0.08%
MEGA PLUS GOLD,3652,0.08%
LinkBox,3638,0.08%
Bra15,3633,0.08%
Swi12,3620,0.08%
Fux36,3583,0.08%
Brainy,3572,0.08%
ViewX,3565,0.08%
Vis20,3539,0.08%
Smx48,3534,0.08%
Nex50,3523,0.08%
X96QPRO,3431,0.08%
Projector,3425,0.08%
hi352t_zsn3_a14,3347,0.08%
Tourobox_V2,3336,0.08%
be30a3,3333,0.08%
tx9 pro max,3328,0.08%
PeiningTV,3316,0.07%
t950s_be311,3242,0.07%
TV2026M26,3045,0.07%
CBOX 3.0,2952,0.07%
hi352t_zsn3_an12,2846,0.06%
hi352t_zsn3_ar,2828,0.06%
KingsPro,2802,0.06%
M3,2778,0.06%
kh9,2744,0.06%
TVCOM,2648,0.06%
SA-16ULTRA,2634,0.06%
android,2547,0.06%
MBOX,2520,0.06%
LU-V78,2477,0.06%
PROSB2016PRO,2462,0.06%
SA-16PRO,2460,0.06%
R1,2459,0.06%
hi352l_zsn3,2443,0.06%
MagicPlus,2415,0.05%
IM2,2415,0.05%
KH3,2332,0.05%
M96TV stick,2306,0.05%
NTM,2304,0.05%
AOSP smart display on pioneer5,2277,0.05%
I96 D1 ATV,2233,0.05%
ADV-3203A,2215,0.05%
kh3,2112,0.05%
TX100PRO5G,2102,0.05%
NOGAPC ULTRA,2063,0.05%
SmartTv,2052,0.05%
TX3mini,1995,0.05%
ADT-3,1962,0.04%
KM22_PRO,1929,0.04%
MStar Android TV,1883,0.04%
TX30PRO 5G,1880,0.04%
K5,1866,0.04%
SS-BOX1,1827,0.04%
SMOON_220T,1824,0.04%
hi352l_zsn4in,1812,0.04%
at30a7,1804,0.04%
REF-V808,1799,0.04%
SuperBOX_S5PRO,1731,0.04%
TX9 PRO,1714,0.04%
ST6681CP201S08_AP,1652,0.04%
INTERBRAS,1649,0.04%
M626,1648,0.04%
KM23,1604,0.04%
A3,1574,0.04%
SuperBOX_Elite2,1569,0.04%
Prime OTT Pro P10,1565,0.04%
S3PRO,1560,0.04%
X96NEW,1554,0.04%
M1,1551,0.03%
Elite3,1542,0.03%
TX100 PRO 5G,1518,0.03%
TV2025M25,1502,0.03%
Gravity TV BOX,1494,0.03%
TX100 pro,1450,0.03%
M2,1448,0.03%
NEK7,1445,0.03%
C26,1444,0.03%
G1,1411,0.03%
Stream Core,1398,0.03%
